i do n't
one of the
the end of
part of the
do n't know
some of the
a number of
there is a
a lot of
# and #
there was a
it 's a
end of the
be able to
it was a
the fact that
you do n't
to be a
there is no
it 's not
at the end
it would be
it is not
i did n't
i 'm not
i can n't
# per_cent of
the number of
it is a
you 've got
the use of
i 've got
the rest of
most of the
there was no
at the time
in the first
at the same
see p. #
do n't think
members of the
as a result
# to #
it was the
the first time
that it is
there 's a
the same time
on the other
that it was
for the first
can not be
a couple of
would have been
in the #s
to be the
this is a
in the same
you can n't
and it was
side of the
to have a
this is the
in which the
back to the
that 's what
and it is
the united states
is n't it
it is the
but it was
do n't want
and in the
but it is
many of the
of the world
that he was
a series of
it will be
is to be
the development of
going to be
in the world
to do with
to have been
it 's the
of the most
that 's right
likely to be
i think it
that 's the
n't want to
of the #
a result of
the case of
between # and
we 've got
it was not
had to be
the other hand
in # and
it was n't
it may be
and it 's
do n't you
it has been
he did n't
rest of the
in the case
is one of
he had been
to make a
that there is
at the moment
as far as
that he had
ve got to
read in studio
secretary of state
a bit of
is that the
in the uk
but it 's
member of the
what do you
as part of
we do n't
the nature of
he was a
they do n't
# of the
you have to
in the early
i want to
of the new
the time of
the basis of
has to be
per_cent of the
it does n't
the back of
and that 's
do you think
a matter of
the government 's
have to be
there 's no
i have n't
the form of
the idea of
a variety of
it can be
the top of
to ensure that
is likely to
it had been
in the last
the cost of
the beginning of
you want to
the need for
to go to
was one of
would have to
if you 're
the prime minister
the house of
i could n't
was going to
would like to
there will be
parts of the
the secretary of
if you are
she did n't
i 'm going
was to be
a member of
much of the
you 're not
in the past
of the first
it should be
did n't know
the middle of
i 've been
i 'm sure
to make the
is not a
ve got a
of the year
to do so
the role of
do n't have
this is not
video-taped report follows
would be a
was in the
it 's just
the age of
i would n't
will have to
from # to
in the middle
the united kingdom
part of a
that 's a
in the morning
the effect of
nature of the
the amount of
to see the
by the time
to look at
the centre of
do you want
to say that
a long time
the importance of
that they are
that there was
as a whole
all the time
the work of
will not be
a group of
as much as
on the basis
the level of
for a moment
by the end
to deal with
the value of
more than a
one of them
he did not
between the two
way in which
seems to be
the sort of
the presence of
n't know what
the world 's
i think i
and that the
would not be
it is possible
must have been
a range of
and there was
should not be
of the day
and i 'm
to do it
the most important
the soviet union
ll have to
use of the
that of the
in the united
if you do
the kind of
of the house
it must be
have to be
if you have
to be able
of the country
and he was
based on the
the labour party
the course of
the question of
wo n't be
the need to
i had to
the possibility of
top of the
if it is
and i think
the majority of
in other words
one or two
re going to
at a time
that they were
i do not
the size of
there has been
not to be
has been a
the name of
in the end
seemed to be
the process of
she had been
in the house
of the two
down to the
in the second
in chapter #
it could be
do you know
up in the
in this case
the department of
in this way
is in the
it is important
who had been
in the way
it is also
is not the
in the form
if you want
may not be
any of the
we have to
will be a
s going to
the absence of
to get the
think it 's
had been a
i 'm sorry
the quality of
the effects of
n't have to
# # #
of all the
to be in
are to be
i have to
that it would
the other side
are likely to
point of view
may have been
can be used
of the same
the result of
the company 's
in # the
at the beginning
which can be
in the country
that 's it
it might be
that she was
to take the
d like to
the country 's
and there is
in the area
you did n't
the edge of
but i do
on march #
the right to
that 's why
the same way
which had been
do n't like
in a way
out in the
in # he
used to be
be used to
the way in
to be made
the introduction of
that 's all
in the next
there would be
i 'd like
that there are
one of those
was the first
